gene	phenotyp
A2ML1	{Otitis-media,-susceptibility-to},-166760-(3),-Autosomal-dominant
A4GALT	[Blood-group,-P1Pk-system,-P(2)-phenotype],-111400-(3);-NOR-polyagglutination-syndrome,-111400-(3);-[Blood-group,-P1Pk-system,-p-phenotype],-111400-(3)
AAAS	Achalasia-addisonianism-alacrimia-syndrome,-231550-(3),-Autosomal-recessive
AAGAB	Keratoderma,-palmoplantar,-punctate-type-IA,-148600-(3),-Autosomal-dominant
AARS	Developmental-and-epileptic-encephalopathy-29,-616339-(3),-Autosomal-recessive;-Charcot-Marie-Tooth-disease,-axonal,-type-2N,-613287-(3),-Autosomal-dominant;-?Leukoencephalopathy,-hereditary-diffuse,-with-spheroids-2,-619661-(3),-Autosomal-dominant;-Trichothiodystrophy-8,-nonphotosensitive,-619691-(3),-Autosomal-recessive
AARS1	Developmental-and-epileptic-encephalopathy-29,-616339-(3),-Autosomal-recessive;-Charcot-Marie-Tooth-disease,-axonal,-type-2N,-613287-(3),-Autosomal-dominant;-?Leukoencephalopathy,-hereditary-diffuse,-with-spheroids-2,-619661-(3),-Autosomal-dominant;-Trichothiodystrophy-8,-nonphotosensitive,-619691-(3),-Autosomal-recessive
AARS2	Leukoencephalopathy,-progressive,-with-ovarian-failure,-615889-(3),-Autosomal-recessive;-Combined-oxidative-phosphorylation-deficiency-8,-614096-(3),-Autosomal-recessive
AARS2,POLR1C	Leukoencephalopathy,-progressive,-with-ovarian-failure,-615889-(3),-Autosomal-recessive;-Combined-oxidative-phosphorylation-deficiency-8,-614096-(3),-Autosomal-recessive
AARS2,TMEM151B	Leukoencephalopathy,-progressive,-with-ovarian-failure,-615889-(3),-Autosomal-recessive;-Combined-oxidative-phosphorylation-deficiency-8,-614096-(3),-Autosomal-recessive
AASS	Hyperlysinemia,-238700-(3),-Autosomal-recessive
ABAT	GABA-transaminase-deficiency,-613163-(3),-Autosomal-recessive
ABCA1	Tangier-disease,-205400-(3),-Autosomal-recessive;-HDL-deficiency,-familial,-1,-604091-(3),-Autosomal-dominant
ABCA12	Ichthyosis,-congenital,-autosomal-recessive-4B-(harlequin),-242500-(3),-Autosomal-recessive;-Ichthyosis,-congenital,-autosomal-recessive-4A,-601277-(3),-Autosomal-recessive
ABCA2	Intellectual-developmental-disorder-with-poor-growth-and-with-or-without-seizures-or-ataxia,-618808-(3),-Autosomal-recessive
ABCA3	Surfactant-metabolism-dysfunction,-pulmonary,-3,-610921-(3),-Autosomal-recessive
ABCA4	Retinal-dystrophy,-early-onset-severe,-248200-(3),-Autosomal-recessive;-Retinitis-pigmentosa-19,-601718-(3),-Autosomal-recessive;-{Macular-degeneration,-age-related,-2},-153800-(3),-Autosomal-dominant;-Cone-rod-dystrophy-3,-604116-(3),-Autosomal-recessive;-Fundus-flavimaculatus,-248200-(3),-Autosomal-recessive;-Stargardt-disease-1,-248200-(3),-Autosomal-recessive
ABCA5	?Hypertrichosis,-congenital-generalized,-with-gingival-hyperplasia,-135400-(3),-Autosomal-recessive
ABCA7	{Alzheimer-disease-9,-susceptibility-to},-608907-(3),-Autosomal-dominant
ABCB1	Encephalopathy,-acute-transient,-620950-(3),-Autosomal-recessive;-{Inflammatory-bowel-disease-13},-612244-(3);-{Colchicine-resistance},-120080-(3)
ABCB11	Cholestasis,-benign-recurrent-intrahepatic,-2,-605479-(3),-Autosomal-recessive;-Cholestasis,-progressive-familial-intrahepatic-2,-601847-(3),-Autosomal-recessive
ABCB4	Gallbladder-disease-1,-600803-(3),-Autosomal-dominant,-Autosomal-recessive;-Cholestasis,-intrahepatic,-of-pregnancy,-3,-614972-(3),-Autosomal-dominant,-Autosomal-recessive;-Cholestasis,-progressive-familial-intrahepatic-3,-602347-(3),-Autosomal-recessive
ABCB6	Dyschromatosis-universalis-hereditaria-3,-615402-(3),-Autosomal-dominant;-[Blood-group,-Langereis-system],-111600-(3);-Pseudohyperkalemia,-familial,-2,-due-to-red-cell-leak,-609153-(3),-Autosomal-dominant;-Microphthalmia/coloboma-7,-614497-(3),-Autosomal-dominant
ABCB7	Anemia,-sideroblastic,-with-ataxia,-301310-(3),-X-linked
ABCC1	?Deafness,-autosomal-dominant-77,-618915-(3),-Autosomal-dominant
ABCC11	[Axillary-odor,-variation-in],-117800-(3),-Autosomal-dominant;-[Earwax,-wet/dry],-117800-(3),-Autosomal-dominant;-[Colostrum-secretion,-variation-in],-117800-(3),-Autosomal-dominant
ABCC2	Dubin-Johnson-syndrome,-237500-(3),-Autosomal-recessive
ABCC6	Pseudoxanthoma-elasticum,-264800-(3),-Autosomal-recessive;-Arterial-calcification,-generalized,-of-infancy,-2,-614473-(3),-Autosomal-recessive;-Pseudoxanthoma-elasticum,-forme-fruste,-177850-(3),-Autosomal-dominant
